1,2,3,4,5,6,7,8,9,result
x,o,x,b,o,o,x,b,b,Temjogo
o,b,x,b,x,x,o,o,b,Temjogo
b,x,o,x,o,o,x,b,b,Temjogo
b,o,o,o,b,x,x,x,x,Xganha
x,b,o,x,x,o,b,b,b,Temjogo
x,x,o,b,b,o,b,x,b,Temjogo
o,b,b,x,b,b,b,b,x,Temjogo
b,b,b,x,b,o,x,o,x,Temjogo
b,b,b,x,b,o,b,b,b,Temjogo
x,x,x,o,b,o,o,b,x,Xganha
x,o,x,o,x,b,o,x,b,Temjogo
o,b,o,x,o,x,x,x,b,Temjogo
x,x,o,o,o,b,x,b,x,Temjogo
x,x,o,x,b,b,o,b,o,Temjogo
b,b,b,b,o,x,b,x,o,Temjogo
o,b,b,b,x,x,b,x,o,Temjogo
b,b,x,o,x,o,b,b,x,Temjogo
b,o,b,x,o,b,x,b,b,Temjogo
x,b,x,x,b,o,o,o,x,Temjogo
o,x,b,b,x,o,x,x,o,Xganha
x,o,b,b,o,o,x,x,x,Xganha
b,b,o,x,o,x,b,b,b,Temjogo
b,x,o,b,b,b,b,b,b,Temjogo
b,b,o,b,o,x,x,x,o,Temjogo
x,o,o,x,x,b,o,x,o,Temjogo
x,b,x,o,x,b,o,b,o,Temjogo
x,o,b,o,b,x,b,b,b,Temjogo
o,x,x,x,o,x,o,x,o,Oganha
o,x,o,b,o,x,b,x,x,Temjogo
b,b,o,b,x,b,o,x,x,Temjogo
b,o,x,x,x,b,o,o,x,Temjogo
b,x,b,x,o,x,b,b,o,Temjogo
o,b,x,x,b,b,o,x,b,Temjogo
o,x,b,o,x,b,b,x,b,Xganha
o,b,x,x,b,o,x,o,x,Temjogo
x,x,o,o,o,x,b,x,o,Temjogo
b,o,b,b,x,o,b,b,x,Temjogo
b,b,b,o,o,x,x,b,x,Temjogo
x,b,o,b,b,b,x,b,o,Temjogo
b,b,b,o,o,b,b,x,x,Temjogo
b,b,o,x,x,x,o,b,b,Xganha
x,b,o,b,b,o,x,x,o,Oganha
x,x,x,b,b,o,o,o,x,Xganha
x,b,o,x,o,b,x,o,x,Xganha
b,x,x,o,o,b,b,x,o,Temjogo
b,x,x,o,b,x,b,b,o,Temjogo
o,b,b,b,x,x,b,b,o,Temjogo
o,b,x,x,x,b,o,b,o,Temjogo
x,o,b,x,b,b,o,b,b,Temjogo
x,x,o,o,x,x,b,o,b,Temjogo
b,o,x,x,b,x,b,o,o,Temjogo
x,x,b,o,o,b,b,o,x,Temjogo
x,b,x,o,b,o,b,b,b,Temjogo
b,o,o,b,x,x,b,b,x,Temjogo
b,b,x,x,b,o,b,b,b,Temjogo
o,b,o,x,x,b,o,x,x,Temjogo
b,o,o,x,x,x,o,x,o,Xganha
x,o,o,x,b,x,b,b,o,Temjogo
b,x,b,b,b,o,o,b,x,Temjogo
x,b,o,x,o,x,x,o,b,Xganha
o,o,x,o,x,x,b,o,x,Xganha
b,b,b,b,x,b,o,o,x,Temjogo
x,b,x,o,b,b,b,o,x,Temjogo
x,x,b,o,b,b,o,b,b,Temjogo
x,x,b,b,o,x,b,o,o,Temjogo
o,o,b,b,o,x,b,x,x,Temjogo
b,b,o,o,x,x,o,b,x,Temjogo
b,b,b,o,b,o,x,x,x,Xganha
b,x,b,o,o,x,b,o,x,Temjogo
b,o,o,x,x,b,b,b,b,Temjogo
b,x,o,b,b,b,b,o,x,Temjogo
b,b,b,b,b,b,b,b,b,Temjogo
x,x,o,o,o,o,x,x,b,Oganha
b,x,b,o,o,x,b,b,x,Temjogo
b,x,o,x,x,b,x,o,o,Temjogo
x,o,b,b,b,o,b,x,b,Temjogo
x,b,b,o,o,b,x,o,x,Temjogo
o,x,x,x,o,b,x,o,b,Temjogo
o,b,o,x,x,x,b,o,x,Xganha
b,b,o,x,b,x,o,o,x,Temjogo
x,b,b,b,o,x,o,b,b,Temjogo
x,o,x,o,o,o,x,x,b,Oganha
x,x,b,o,o,x,o,x,o,Temjogo
x,x,o,o,b,b,x,o,x,Temjogo
b,o,b,x,x,o,o,x,x,Temjogo
x,x,x,o,x,x,o,o,o,Xganha
b,b,x,b,b,b,b,b,b,Temjogo
x,b,x,b,x,b,o,o,o,Oganha
b,b,o,o,x,b,x,b,b,Temjogo
o,b,x,x,o,b,x,b,o,Oganha
b,x,x,o,b,o,x,b,b,Temjogo
o,x,o,x,x,b,o,x,o,Xganha
x,o,o,o,x,o,x,x,b,Temjogo
o,b,x,o,x,x,o,o,x,Xganha
o,b,b,b,b,b,x,o,x,Temjogo
x,x,o,x,o,x,o,b,b,Oganha
o,x,x,o,o,x,o,b,x,Xganha
b,b,o,x,o,b,x,b,x,Temjogo
b,b,b,x,b,b,o,b,x,Temjogo
x,o,x,o,x,x,b,o,b,Temjogo
x,o,o,x,b,b,b,b,b,Temjogo
b,x,x,x,o,b,o,b,o,Temjogo
o,b,o,o,x,x,o,x,x,Oganha
x,o,o,x,x,b,b,x,o,Temjogo
o,b,x,b,b,b,b,x,o,Temjogo
b,b,b,b,o,o,x,b,x,Temjogo
o,x,o,x,o,b,o,x,x,Oganha
o,x,o,b,x,b,b,b,x,Temjogo
b,b,o,x,b,o,x,x,b,Temjogo
x,o,o,o,b,x,b,x,x,Temjogo
b,x,o,x,b,o,x,o,b,Temjogo
x,b,b,o,b,x,o,b,x,Temjogo
x,b,x,b,o,o,o,b,x,Temjogo
b,o,x,x,o,o,x,x,b,Temjogo
b,b,b,x,b,b,b,o,b,Temjogo
b,b,x,b,b,o,x,x,o,Temjogo
b,b,x,x,b,x,b,o,o,Temjogo
o,o,b,x,b,b,x,b,x,Temjogo
b,o,x,b,b,b,x,x,o,Temjogo
o,o,x,x,x,b,x,o,b,Xganha
x,x,x,b,o,b,o,o,x,Xganha
b,x,o,o,b,x,x,o,x,Temjogo
x,b,o,b,x,b,o,o,x,Xganha
x,x,b,b,o,o,o,b,x,Temjogo
x,o,b,o,x,x,o,o,x,Xganha
o,x,x,b,x,o,o,x,b,Xganha
b,b,b,b,x,x,o,x,o,Temjogo
x,b,o,o,x,b,o,x,x,Xganha
b,o,x,b,o,x,o,x,x,Xganha
b,o,b,x,b,x,x,o,o,Temjogo
b,b,x,b,x,b,o,b,o,Temjogo
o,b,x,b,b,x,x,o,o,Temjogo
b,x,o,x,x,o,b,o,x,Temjogo
o,b,b,b,b,x,x,o,b,Temjogo
x,b,x,o,b,o,b,o,x,Temjogo
o,o,o,b,x,x,o,x,x,Oganha
o,o,x,o,x,x,o,b,x,Xganha
b,b,x,b,o,o,b,x,x,Temjogo
o,x,b,b,x,x,b,o,b,Temjogo
b,b,o,b,x,o,x,b,x,Temjogo
o,x,b,o,b,x,x,o,x,Temjogo
x,x,x,o,o,x,b,o,o,Xganha
o,b,b,x,b,b,b,x,o,Temjogo
o,b,x,b,b,x,x,b,o,Temjogo
b,o,o,x,o,x,o,x,x,Oganha
x,x,o,o,b,b,b,o,x,Temjogo
b,x,o,o,b,b,o,x,x,Temjogo
o,b,b,x,b,o,o,x,x,Temjogo
o,x,b,x,b,o,x,o,x,Temjogo
o,b,x,x,x,o,b,b,o,Temjogo
b,x,b,b,x,b,b,b,o,Temjogo
o,o,b,x,b,b,b,b,x,Temjogo
o,x,o,b,x,b,x,x,o,Xganha
o,b,b,x,b,b,x,x,o,Temjogo
b,b,x,o,x,b,b,o,x,Temjogo
o,o,x,x,b,o,b,x,b,Temjogo
b,x,o,x,b,o,b,b,x,Temjogo
x,x,o,o,x,b,b,b,b,Temjogo
o,b,b,x,o,b,x,o,x,Temjogo
x,o,o,o,x,x,o,b,x,Xganha
o,o,b,x,x,b,o,x,b,Temjogo
o,b,x,x,o,x,b,b,o,Oganha
b,b,o,b,x,x,b,b,o,Temjogo
x,x,o,o,x,o,o,b,x,Xganha
x,x,b,b,b,x,b,o,o,Temjogo
b,o,b,b,b,x,b,b,x,Temjogo
x,x,o,o,b,o,x,b,b,Temjogo
o,x,x,b,o,x,b,o,b,Temjogo
x,b,x,o,b,o,o,b,x,Temjogo
x,b,b,o,x,o,x,o,b,Temjogo
x,b,b,o,b,o,b,x,b,Temjogo
x,b,o,o,b,x,x,o,b,Temjogo
o,x,o,x,o,b,x,o,x,Temjogo
x,x,b,b,o,o,b,o,x,Temjogo
x,x,x,b,o,b,b,o,b,Xganha
x,o,b,x,b,o,o,x,x,Temjogo
x,b,o,b,o,o,x,x,b,Temjogo
x,o,b,o,o,x,o,x,x,Temjogo
x,x,b,o,x,o,x,o,b,Temjogo
o,b,x,b,o,b,x,o,x,Temjogo
x,b,b,x,b,x,o,o,o,Oganha
b,x,b,b,b,x,b,b,o,Temjogo
x,b,x,o,b,o,x,x,o,Temjogo
x,b,o,x,o,x,o,x,b,Oganha
x,x,o,b,o,b,x,o,x,Temjogo
o,x,o,x,x,o,x,b,b,Temjogo
o,b,b,o,b,x,o,x,x,Oganha
o,b,x,x,o,o,x,b,x,Temjogo
o,x,b,x,b,b,x,o,b,Temjogo
b,o,o,o,b,b,x,x,x,Xganha
o,b,b,o,b,b,b,x,x,Temjogo
b,o,o,x,x,x,b,o,x,Xganha
x,x,o,o,o,b,x,x,b,Temjogo
b,x,x,o,o,o,b,x,x,Oganha
x,o,o,b,x,b,x,b,b,Temjogo
x,x,o,o,o,x,b,x,b,Temjogo
x,x,o,o,x,o,o,x,b,Xganha
o,o,x,o,b,x,b,b,x,Xganha
b,x,b,o,b,x,b,o,b,Temjogo
x,b,b,b,o,o,x,b,b,Temjogo
b,x,o,o,x,b,x,o,x,Temjogo
o,b,b,b,o,x,x,x,o,Oganha
b,b,b,x,o,o,x,b,x,Temjogo
b,o,x,b,x,x,o,b,o,Temjogo
b,b,b,x,b,o,o,x,b,Temjogo
o,x,x,x,o,o,o,x,b,Temjogo
b,b,b,x,o,o,b,x,b,Temjogo
b,b,x,x,b,x,o,o,b,Temjogo
b,o,o,x,x,x,b,b,b,Xganha
o,x,b,o,x,b,b,o,x,Temjogo
b,b,o,x,b,b,o,x,x,Temjogo
o,o,b,x,b,x,b,b,x,Temjogo
o,b,x,o,b,o,b,x,x,Temjogo
o,x,b,o,b,o,x,x,b,Temjogo
x,o,b,b,x,b,o,b,b,Temjogo
o,o,o,x,b,x,x,b,x,Oganha
b,o,b,x,o,x,b,b,b,Temjogo
o,x,x,x,o,x,o,b,o,Oganha
b,x,b,o,x,o,b,x,o,Xganha
o,b,o,x,x,b,b,o,x,Temjogo
b,x,b,b,o,b,x,o,x,Temjogo
x,o,b,o,o,x,x,x,o,Temjogo
x,b,o,o,b,x,b,x,b,Temjogo
x,o,o,b,o,x,b,x,x,Temjogo
x,b,o,x,o,b,o,x,x,Oganha
o,x,x,o,o,o,x,b,x,Oganha
b,b,o,x,b,b,b,o,x,Temjogo
o,b,x,b,b,o,o,x,x,Temjogo
o,x,b,b,x,o,x,b,o,Temjogo
b,b,o,b,x,x,o,b,x,Temjogo
b,x,x,b,o,o,b,b,x,Temjogo
b,b,o,x,x,x,b,o,b,Xganha
b,x,b,o,o,b,b,x,b,Temjogo
x,x,o,o,x,b,x,o,o,Temjogo
o,b,b,x,x,o,b,x,b,Temjogo
o,x,b,o,o,x,b,b,x,Temjogo
x,o,b,x,x,o,b,o,x,Xganha
x,x,b,o,b,o,b,x,b,Temjogo
x,b,o,o,o,x,o,x,x,Oganha
b,o,b,o,b,x,o,x,x,Temjogo
x,x,o,x,b,o,o,x,b,Temjogo
b,b,x,b,x,o,o,x,o,Temjogo
x,o,b,o,x,b,o,b,x,Xganha
b,b,b,b,b,x,o,x,o,Temjogo
x,b,b,x,x,x,o,o,o,Xganha
x,x,x,b,b,b,o,o,o,Xganha
o,x,x,x,o,x,b,o,o,Oganha
x,x,x,x,o,o,x,o,o,Xganha
o,x,x,b,x,b,o,o,b,Temjogo
b,b,o,o,b,x,b,b,x,Temjogo
x,o,o,x,x,b,b,o,x,Xganha
b,b,x,o,b,o,b,x,b,Temjogo
x,x,o,b,x,x,o,o,b,Temjogo
o,x,o,b,o,b,b,x,x,Temjogo
x,b,o,x,o,o,x,x,o,Xganha
o,o,o,x,b,b,x,b,x,Oganha
x,x,o,b,o,b,o,x,b,Oganha
o,o,b,b,x,b,b,b,x,Temjogo
b,x,o,o,x,x,x,b,o,Temjogo
b,x,b,o,x,b,o,x,b,Xganha
o,x,x,o,x,o,b,b,b,Temjogo
x,b,o,b,o,x,o,x,b,Oganha
x,o,b,b,b,x,o,x,b,Temjogo
o,x,b,x,x,b,o,o,x,Temjogo
x,o,x,o,b,x,o,x,b,Temjogo
x,b,o,x,o,x,x,b,o,Xganha
x,o,x,b,b,x,o,o,b,Temjogo
b,b,b,x,x,b,o,o,x,Temjogo
b,x,x,x,b,o,o,b,o,Temjogo
o,x,x,o,b,o,x,b,b,Temjogo
x,o,o,o,x,x,o,x,b,Temjogo
o,x,b,o,x,x,x,b,o,Temjogo
b,b,b,x,o,o,x,b,b,Temjogo
b,o,x,o,o,x,o,x,x,Xganha
b,b,x,o,o,b,x,x,b,Temjogo
b,o,x,x,b,o,o,x,b,Temjogo
o,o,o,x,x,x,x,x,o,Xganha
b,b,b,b,b,b,o,x,x,Temjogo
o,x,x,b,x,o,x,o,b,Xganha
o,o,x,x,o,x,b,b,b,Temjogo
o,b,x,o,x,x,o,x,o,Oganha
o,x,x,x,o,o,x,b,b,Temjogo
b,o,o,x,x,x,b,o,b,Xganha
b,x,o,x,x,b,b,o,o,Temjogo
b,o,b,b,b,o,x,x,b,Temjogo
b,x,b,x,b,o,o,o,x,Temjogo
x,x,o,b,x,o,b,x,o,Xganha
b,o,b,o,b,x,b,x,x,Temjogo
o,o,o,x,x,o,x,x,b,Oganha
o,x,x,x,b,o,o,b,b,Temjogo
o,x,b,x,b,b,o,b,b,Temjogo
b,b,b,b,b,o,x,b,x,Temjogo
b,b,o,x,x,x,o,o,x,Xganha
o,x,b,o,b,x,x,b,o,Temjogo
b,x,b,x,o,b,b,o,x,Temjogo
x,o,x,b,o,b,b,b,x,Temjogo
o,b,x,o,x,o,b,x,x,Temjogo
x,b,b,o,x,o,b,x,b,Temjogo
b,b,o,b,b,o,b,x,x,Temjogo
x,o,o,o,b,b,x,x,b,Temjogo
o,x,o,x,b,x,o,b,b,Temjogo
b,x,b,x,b,x,b,o,o,Temjogo
b,o,o,b,x,x,b,o,x,Temjogo
x,x,x,o,x,o,o,b,b,Xganha
x,b,b,x,x,o,o,b,b,Temjogo
b,o,o,o,x,b,b,x,x,Temjogo
b,b,x,b,o,b,b,x,o,Temjogo
x,o,b,b,b,x,b,o,b,Temjogo
x,x,o,x,o,o,b,b,b,Temjogo
x,o,b,o,x,o,x,b,b,Temjogo
b,x,b,b,o,b,b,x,o,Temjogo
x,x,b,o,o,b,o,x,x,Temjogo
x,b,o,o,b,b,b,x,x,Temjogo
o,x,x,x,b,b,o,o,x,Temjogo
b,b,b,x,b,x,o,x,o,Temjogo
x,o,b,b,b,o,x,b,x,Temjogo
b,x,o,x,b,x,o,b,o,Temjogo
x,o,x,x,o,b,b,o,x,Oganha
x,o,b,o,x,b,b,x,b,Temjogo
b,x,b,x,o,o,o,b,x,Temjogo
o,b,x,b,x,x,o,b,b,Temjogo
b,o,b,x,o,x,b,o,x,Oganha
x,o,o,x,x,o,o,x,x,Xganha
o,b,x,b,x,x,b,o,b,Temjogo
o,b,x,o,b,x,o,b,x,Xganha
x,o,o,o,b,x,b,x,b,Temjogo
x,o,o,x,b,x,x,o,b,Xganha
x,x,x,b,b,o,x,o,o,Xganha
x,o,x,x,x,o,b,o,b,Temjogo
o,o,x,b,x,x,o,b,x,Xganha
x,x,o,b,b,b,x,b,o,Temjogo
x,x,b,o,o,x,b,o,x,Temjogo
b,x,o,x,o,b,b,x,o,Temjogo
o,b,x,x,b,b,o,b,b,Temjogo
x,x,x,o,o,o,b,x,o,Xganha
o,o,x,x,x,b,o,x,o,Temjogo
x,o,x,b,x,x,o,o,o,Oganha
b,o,o,b,x,b,x,o,x,Temjogo
o,x,x,o,o,b,o,x,x,Oganha
o,x,b,b,b,x,o,b,x,Temjogo
x,b,x,x,o,b,o,b,o,Temjogo
b,x,x,x,o,b,o,x,o,Temjogo
o,x,o,x,x,o,b,o,x,Temjogo
b,b,b,o,x,o,b,b,x,Temjogo
b,o,o,b,x,x,o,x,b,Temjogo
x,b,b,o,o,x,b,x,b,Temjogo
b,b,b,x,b,x,o,o,x,Temjogo
b,b,x,x,x,o,o,x,o,Temjogo
b,b,x,b,o,b,x,x,o,Temjogo
o,x,x,x,o,b,b,o,x,Temjogo
b,x,x,b,o,x,o,b,b,Temjogo
x,b,b,x,x,b,o,o,b,Temjogo
o,x,b,b,b,x,b,o,b,Temjogo
x,o,o,x,b,o,b,x,b,Temjogo
x,o,o,b,x,o,x,x,o,Oganha
b,o,x,o,x,o,b,x,b,Temjogo
o,x,x,o,b,x,x,o,b,Temjogo
o,b,x,b,b,b,x,b,o,Temjogo
b,x,o,b,x,x,o,o,b,Temjogo
x,x,b,o,x,x,o,o,b,Temjogo
x,x,b,x,o,o,b,x,o,Temjogo
o,b,o,x,x,o,x,b,x,Temjogo
b,x,o,x,o,b,b,x,b,Temjogo
b,o,x,b,b,o,x,x,o,Temjogo
b,o,o,x,b,b,b,x,b,Temjogo
x,o,b,o,x,o,o,x,x,Xganha
x,b,o,x,o,o,b,x,x,Temjogo
x,x,o,o,b,o,x,o,x,Temjogo
o,o,x,x,o,o,x,x,b,Temjogo
b,b,b,o,x,o,x,b,b,Temjogo
b,b,b,o,o,x,x,o,x,Temjogo
x,b,b,o,x,o,b,x,o,Temjogo
x,x,o,o,x,x,x,o,o,Empate
x,b,o,b,o,x,x,o,x,Temjogo
x,o,x,b,o,x,x,b,o,Temjogo
o,x,o,x,x,b,x,b,o,Temjogo
x,x,x,o,o,o,o,x,x,Xganha
x,b,o,b,x,x,b,b,o,Temjogo
o,b,x,b,o,b,x,x,o,Oganha
x,x,b,b,x,o,b,o,o,Temjogo
b,x,o,o,x,b,x,o,b,Temjogo
o,o,b,x,o,b,b,x,x,Temjogo
x,x,b,x,o,o,b,b,b,Temjogo
x,b,o,o,b,o,x,b,x,Temjogo
o,b,o,o,x,b,x,x,x,Xganha
b,x,o,x,x,x,o,o,b,Xganha
x,o,x,b,b,b,x,b,o,Temjogo
b,b,b,x,b,x,b,o,o,Temjogo
b,x,b,x,o,o,b,x,o,Temjogo
